"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"189","Afghanistan",2020-09-16,239,38855,40,1436,10,32503,405,4916,99.8,0.1,12.6,3.7,0,173,163
"375","Albania",2020-09-16,239,11816,144,343,3,6733,65,4740,410.6,5,164.7,11.9,0.1,177,172
"587","Algeria",2020-09-16,239,48966,232,1645,13,34517,132,12804,111.7,0.5,29.2,3.8,0,179,180
"718","Andorra",2020-09-16,239,1483,45,53,0,1054,109,376,1926,58.4,488.3,68.8,0,178,169
"942","Angola",2020-09-16,239,3675,106,143,4,1401,69,2131,11.2,0.3,6.5,0.4,0,98,86
"1056","Antigua and Barbuda",2020-09-16,239,95,0,3,0,91,0,1,96.9,0,1,3.1,0,0,0
"1256","Argentina",2020-09-16,239,589012,11674,12116,264,448263,9380,128633,1303.2,25.8,284.6,26.8,0.6,180,173
"1513","Armenia",2020-09-16,239,46376,257,923,3,42069,128,3384,1565.2,8.7,114.2,31.2,0.1,181,160
"1616","Australia",2020-09-16,239,26813,35,832,8,23790,140,2191,105.1,0.1,8.6,3.3,0,190,174
"1912","Austria",2020-09-16,239,35073,768,758,1,27655,301,6660,389.4,8.5,74,8.4,0,192,178
"2187","Azerbaijan",2020-09-16,239,38658,141,569,3,36149,151,1940,381.3,1.4,19.1,5.6,0,174,159
"2272","Bahrain",2020-09-16,239,62484,841,216,3,55444,613,6824,3671.2,49.4,400.9,12.7,0.2,190,126
"2518","Bangladesh",2020-09-16,239,342671,1615,4823,21,247969,2375,89879,208.1,1,54.6,2.9,0,163,163
"2677","Barbados",2020-09-16,239,185,1,7,0,171,2,7,64.5,0.3,2.4,2.4,0,67,0
"2795","Belarus",2020-09-16,239,74763,211,767,6,72810,149,1186,791.2,2.2,12.6,8.1,0.1,170,163
"3023","Belgium",2020-09-16,239,95948,1153,9935,5,18810,21,67203,827.9,9.9,579.8,85.7,0,194,183
"3252","Belize",2020-09-16,239,1536,8,19,0,696,33,821,385.9,2,206.3,4.8,0,41,23
"3513","Benin",2020-09-16,239,2280,13,40,0,1942,0,298,18.8,0.1,2.5,0.3,0,132,90
"3757","Bhutan",2020-09-16,239,246,0,0,0,175,0,71,31.9,0,9.2,0,0,48,0
"3813","Bolivia",2020-09-16,239,128872,586,7478,31,87031,815,34363,1104,5,294.4,64.1,0.3,169,165
