,Condoms,Lubricants,PrEP,PEP,Needle and syringe,Opioid substitution,Naloxone,Provider-initiated testing,Community-based testing,Lay provider testing,Self testing,Assisted partner notification,Equitable ART,Access and adherence ,PMTCT,STI screening and treatment,Antenatal care,Review laws - behaviour,Review laws - services,Train HCW,Train officers,Engage stakeholders,Health services,Community empowerment,Violence prevention,Violence monitoring,alpha3
Algeria (1),1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,DZA
Angola (2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AGO
Benin (3),1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BEN
Botswana (4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BWA
Burkina Faso (5),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BFA
Burundi (6),0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,BDI
Cape Verde (7),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CPV
Cameroon (8),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,CMR
Central African Republic (9),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAF
Chad (10),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,TCD
Comoros (11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COM
Congo (12),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,COG
Côte d’Ivoire (13),0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,CIV
